# Fix print output for fix output
1324000 -0.00297548    9.64068e-05 -0.00231674
1325000 -9.17935e-05    0.000920632 0.0117824
1326000 -0.000789461    -0.000405612 0.00686053
1327000 0.000554614    0.00127987 0.012463
1328000 0.010676    -0.000255075 0.0160516
1329000 0.000348212    0.000912277 0.00940124
1330000 -0.000411367    -0.00102987 0.0160833
1331000 -9.15251e-05    -0.000125409 0.0017217
1332000 0.0012112    0.000238938 -7.8955e-05
1333000 0.00333249    2.60917e-05 0.00327023
1334000 0.000915225    -0.000981779 0.000760769
1335000 0.00334775    0.000344299 0.007183
1336000 -0.000366836    -0.00142306 0.00312889
1337000 0.016685    -1.97323e-06 0.00488302
1338000 0.00544084    -0.000912212 0.00148531
1339000 0.00743326    0.00292978 0.00672879
1340000 0.00833742    0.0012833 0.0018645
1341000 -0.000290481    0.000731627 0.0078698
1342000 0.00717623    -0.000321084 -0.00221461
1343000 0.00259267    0.000104141 0.00287187
1344000 -0.00413736    -0.000763781 0.00268213
1345000 0.0170819    0.00131338 -0.00260047
1346000 -0.0132224    0.000272309 0.00990104
1347000 0.0104553    0.00132388 0.0390708
1348000 0.00556836    0.000410459 0.0155722
1349000 -0.00677513    0.00149237 0.0152953
1350000 0.00729937    0.000763322 0.0194459
1351000 0.00951612    -0.000907138 0.0105404
1352000 -0.00669635    -0.000724959 -0.00719733
1353000 0.0121626    -5.60467e-05 0.00310629
1354000 -0.00236591    0.00085587 0.0329537
1355000 0.0108964    0.0013804 0.011507
1356000 0.00940704    0.0022573 -0.00289424
1357000 0.00694619    -7.22786e-05 0.0206567
1358000 -0.00128034    0.000921364 0.0215914
1359000 0.00171022    -0.00131032 -0.00882344
1360000 -0.00273588    0.000167972 0.00122499
1361000 0.00524662    -0.000270378 0.0016455
1362000 -0.00168139    0.000119498 -0.00227603
1363000 -0.00217374    7.95704e-05 0.0128416
1364000 -0.00241201    -0.00050638 0.00720105
1365000 0.000441624    0.000716365 0.0182883
1366000 0.000950686    -0.000641843 0.0193202
1367000 -0.00242596    0.000804602 0.011527
1368000 0.00186679    -0.000191688 0.00355634
1369000 0.00865516    5.6631e-05 0.00726824
1370000 0.0157539    0.000314524 0.0176213
1371000 0.00726381    -0.000250529 -0.0101164
1372000 0.0163383    -0.00134772 0.00761298
1373000 -0.0034048    -0.000837667 0.00692555
1374000 0.0201351    0.00116121 0.0158384
1375000 0.0258462    -0.000538555 0.0134269
1376000 0.00310064    -0.000746276 0.00504125
1377000 0.02854    -0.000916076 -0.00100972
1378000 -0.0107252    0.000274723 0.000742761
1379000 -0.00332125    0.000824936 -0.000637912
1380000 0.00545465    -5.22133e-05 -0.00178137
1381000 0.00483218    0.000765255 -1.4785e-06
1382000 0.0144216    0.00118817 -0.0050197
1383000 0.00529682    -0.00103221 0.00454433
1384000 0.0206249    -0.000868538 -0.00136072
1385000 0.00202535    0.0014193 0.00157174
1386000 0.00489109    0.00219463 0.00380312
1387000 0.00278071    6.44846e-05 0.00180196
1388000 0.0198966    0.000522829 -2.12856e-05
1389000 0.0228092    -0.00169363 0.00013725
1390000 0.00955525    0.00143918 -0.000369795
1391000 0.00608393    0.000296666 0.000418089
1392000 0.00754407    0.000756177 0.000883686
1393000 0.0081235    0.000263265 0.00237603
1394000 1.0801e-05    0.000837576 0.000867549
1395000 0.0155241    0.00213278 0.00189001
1396000 -0.00874297    0.000389429 0.000331118
1397000 0.00366819    0.00059408 0.00448043
1398000 -0.000488972    0.00094401 -0.000454802
1399000 0.0090973    -0.000556356 -0.00136531
1400000 0.00191141    -0.000312812 0.000708838
1401000 -0.00232075    -0.000428637 0.00108026
1402000 0.00512291    -5.24364e-06 0.00270551
1403000 0.0195004    0.000286771 0.00106082
1404000 -0.00251558    -0.000401355 -0.000308469
1405000 0.0135088    0.00155912 0.00108228
1406000 -0.00428351    0.000897869 -0.00021585
1407000 -0.00438837    -0.000501299 6.85758e-05
1408000 0.0167213    0.00123421 -0.00185653
1409000 -0.0015579    0.00109449 0.002474
1410000 0.00229095    0.00014563 0.00137122
1411000 0.00199383    0.000151582 -0.00133862
1412000 -0.0012869    -0.000419654 0.000549104
1413000 -0.000768031    0.000579454 -0.00166112
1414000 0.00365245    -0.00135286 -0.00581018
1415000 -0.00309796    8.6127e-05 -0.000513103
1416000 0.000165    0.00151388 -0.00348909
1417000 -0.000527173    0.000356171 0.00167966
1418000 0.00281114    -0.000210478 -0.000341617
1419000 0.00170446    0.000644745 -0.00120285
1420000 0.00551993    2.85603e-05 -0.00391871
1421000 0.00406446    -0.000170561 0.000299285
1422000 -0.00393968    -0.00113762 -0.00332421
1423000 0.000158385    0.00125625 -0.00293712
1424000 -0.00358568    -0.000203405 -0.000346787
1425000 -0.00254419    0.000252715 0.00022296
1426000 0.0018739    0.00154116 -0.00144827
1427000 0.000755843    -0.000136798 0.00251926
1428000 -0.00236387    0.00102718 0.000423492
1429000 -0.000480268    -0.000693676 0.000566112
1430000 -5.74096e-05    -0.000575161 -0.00157884
1431000 0.000775492    0.00156886 -0.000773564
1432000 -0.00496437    0.000962091 0.00177128
1433000 -0.000208581    -0.00304791 -0.00153546
1434000 0.00379935    -0.000461862 -0.00174659
1435000 0.00263685    0.000406066 -0.000549284
1436000 0.000933184    -0.000599073 -0.00112962
1437000 -0.000259003    0.00214184 -0.000890374
1438000 0.00152535    0.000745392 -0.00414597
1439000 0.00412691    0.000858328 -0.00164035
1440000 -0.00255356    0.000182499 0.00148981
1441000 0.00805061    -0.000126111 0.00627734
1442000 0.00225808    8.49116e-05 -0.00246198
1443000 0.00382737    0.00117689 0.00117018
1444000 0.00681064    0.000866311 0.00215413
1445000 -0.00151706    0.00019943 -0.00278276
1446000 -0.00395379    0.00148758 -0.00429695
1447000 0.000122965    -0.00164358 0.000586273
1448000 0.000666651    -0.000541748 -0.00378872
1449000 0.0015573    0.000263027 -0.00127598
1450000 0.00152235    0.000892512 -0.0012354
1451000 0.00248582    -0.000455638 -0.00332779
1452000 0.000445111    -0.000603746 -0.00132458
1453000 0.000538625    0.000868991 0.00110518
1454000 -0.00215229    0.000689883 -0.00275841
1455000 -0.000668703    -0.000303408 -0.00084753
1456000 0.00456903    0.000560613 0.00130135
1457000 0.00244339    0.00100067 0.00272223
1458000 -0.00349969    -0.00059982 -0.00138747
1459000 0.00481301    0.000560286 0.000317987
1460000 0.00132757    0.0011512 -0.00100338
1461000 -0.00282587    -0.00163803 0.00231509
1462000 -0.000913571    2.56091e-05 -0.000980073
1463000 -3.41675e-05    0.000173876 -0.00352739
1464000 0.000490126    -0.00157762 -0.00175148
1465000 -0.00324025    0.000453672 0.00351839
1466000 0.000374434    0.00117363 0.000631571
1467000 -2.76072e-05    0.000705608 -0.00105504
1468000 0.020465    -0.00325907 0.000872437
1469000 0.0137815    -0.00650307 0.00107941
1470000 0.0105426    9.06465e-05 0.00137807
1471000 0.00409442    -0.00203095 -0.000834871
1472000 0.00539897    0.000860659 0.000438503
1473000 0.0100175    -0.000982406 -0.0016824
1474000 0.029063    0.00115158 -0.00331952
1475000 0.0167172    -0.000187891 0.00132842
1476000 0.00459026    -0.000569581 0.00187636
1477000 0.0106531    -0.000621668 0.00127338
1478000 0.0175981    0.000744016 -0.000420692
1479000 -0.00281472    0.00103733 -3.05006e-05
1480000 0.0101397    -0.000542114 -0.00153884
1481000 0.00706266    -0.00142319 0.00120484
1482000 -0.00480678    8.58631e-05 0.0020222
1483000 0.00115984    -0.000723218 0.000694201
1484000 -0.000295286    0.00142534 0.0001006
1485000 -0.000542563    0.000711864 -0.00236738
1486000 0.00259704    -0.00133742 0.0017897
1487000 -0.00138218    0.000837436 0.000489055
1488000 -0.000328201    0.000286203 -0.00272772
1489000 8.65704e-05    -0.000182217 -0.00201649
1490000 -0.000325617    0.00102317 -0.00165773
1491000 0.00218002    0.000177339 0.00101053
1492000 0.0128414    -0.000383435 0.000355163
1493000 0.00370594    -0.00107733 0.00162992
1494000 0.000941078    0.00226151 -0.00142915
1495000 -0.000557192    0.00120264 0.00113119
1496000 0.0018879    -0.00157005 0.00121247
1497000 0.00188633    0.000987847 0.000228958
1498000 0.00191885    -0.00118825 -0.00110767
1499000 0.00145119    0.000478015 -0.00109499
1500000 0.0172887    8.57633e-06 -0.000196266
1501000 -0.000614852    0.000436177 -0.000625252
1502000 0.00457787    -0.000256618 0.00445945
1503000 -0.00272142    -0.00016926 -0.0013477
1504000 -0.0085784    0.00249993 -0.000963472
1505000 -0.00197712    -0.000950556 0.00324979
1506000 -0.000599988    0.000533634 -0.00157687
1507000 0.00538163    0.00110635 -0.00138226
1508000 0.00433821    -0.00115797 -0.000797656
1509000 -0.000552603    0.00105185 -0.000751821
1510000 -0.00415639    0.000335181 0.000425392
1511000 -0.000328112    0.000336004 -0.000642396
1512000 0.00363779    0.00131536 0.000697067
1513000 -0.00118181    0.002805 0.00273691
1514000 0.011927    0.00221889 -0.00172184
1515000 0.00464563    0.0017317 0.000705926
1516000 9.68449e-05    0.00146901 -0.00367449
1517000 0.0100934    -0.000479105 -0.00201826
1518000 0.00318084    -0.000932973 0.00222348
1519000 0.00270918    0.00140563 -0.00226185
1520000 0.00112915    0.000546816 -0.00233345
1521000 0.0128469    -0.00272846 0.000529952
1522000 0.0169632    0.00196728 0.00133305
1523000 -0.00414818    -0.00402396 -0.000411744
1524000 0.00110547    0.00167346 0.0023372
1525000 0.00591136    -0.000353342 0.00159518
1526000 0.00936412    0.00171157 0.000508945
1527000 0.0154879    0.000823069 -0.00170151
1528000 -0.0131293    -0.00359547 -0.00404059
1529000 0.00107534    -0.0011777 -0.00429923
1530000 0.00357988    0.0010688 -0.00078323
1531000 0.0066977    0.00149126 -0.00125773
1532000 0.00292709    -0.00148429 0.000676699
1533000 0.0218333    -0.000434783 -0.000573855
1534000 -0.00920678    0.000461703 -0.00196357
1535000 0.00634373    -1.02128e-05 0.00116138
1536000 0.00245563    0.000500168 0.000180919
1537000 -0.00108569    -0.00435018 0.00194736
1538000 -0.00334118    0.001841 -0.00140851
1539000 0.00418205    -0.0029819 -0.00197622
1540000 0.00256128    -0.00210586 0.00071322
1541000 0.00282139    -0.00191905 -0.00261412
1542000 0.00398804    -0.000908084 0.000722212
1543000 0.00139836    0.00146827 -0.00231898
1544000 0.000103447    0.000965282 -0.00261071
1545000 -0.000821707    -0.00213424 -0.00174097
1546000 0.00361112    -2.29632e-05 -0.001548
1547000 -0.00162061    -0.00391878 -0.00127376
1548000 0.00731998    -0.000502703 -3.31555e-05
1549000 -0.00145867    -4.63315e-06 0.00224725
1550000 -0.000110991    0.000513279 -0.00149942
1551000 0.000132432    0.00147936 0.00361713
1552000 0.00488952    0.000573343 0.0043116
1553000 -0.00112432    -0.00211097 0.00319842
1554000 -0.00307648    -0.00156897 0.000850466
1555000 0.0219654    -0.00199926 0.00177029
1556000 -0.00199369    0.00308406 0.00139159
1557000 0.00654192    0.00475738 -0.00239343
1558000 -0.00362274    0.000525854 -0.00271296
1559000 0.00103031    0.000283624 -0.00395802
1560000 -0.00141996    0.00177903 0.00160851
1561000 -0.000391064    -0.00209719 -0.00410682
1562000 -0.00234464    -0.00114875 0.00229059
1563000 0.0030818    -1.78121e-06 0.00179536
1564000 0.00686152    0.00269123 0.00357519
1565000 -0.00149635    0.000186884 -0.000954545
1566000 0.000207945    -0.000188995 -1.82977e-05
1567000 0.00608847    -0.00168403 -0.00277423
1568000 0.0058517    -0.00154866 0.00415348
1569000 0.00346614    0.00468766 0.00273276
1570000 -0.000638903    -0.000283516 -0.000128826
1571000 0.00195788    0.00297123 -0.00108518
1572000 0.00196047    -0.0017612 -0.000541246
1573000 0.00282419    0.000309898 0.00481268
1574000 -0.000948688    0.0059107 -0.00205516
1575000 -0.000984358    -0.000130589 -0.000440415
1576000 -0.00163478    0.000948117 -0.000584021
1577000 -0.00276217    0.00149905 0.00215212
1578000 -0.000331394    0.00222458 -0.00144308
1579000 0.00150722    0.00304864 0.00482028
1580000 -0.00144898    0.00120818 -0.00516366
1581000 -0.00144769    0.00049842 -0.00196997
1582000 -0.00114775    0.00185652 -0.00261304
1583000 0.00780497    0.00128241 -0.00325422
1584000 0.0023805    -0.00347737 -0.000539696
1585000 -0.000969902    -0.00529467 0.000391413
1586000 0.0049303    -0.000595568 -0.000518674
1587000 -0.00171369    0.000359091 0.0012034
1588000 0.0174212    -0.0007157 -0.000333188
1589000 0.00629764    0.000618517 0.00217365
1590000 -0.00201471    0.00251338 -9.8126e-05
1591000 0.0042382    0.00161133 3.07731e-05
1592000 -0.00451688    0.00128071 0.00312837
1593000 0.00267163    0.00265647 -0.00121215
1594000 0.0015951    -0.00245127 0.0010853
1595000 0.00843671    0.000389619 0.00271085
