# 579 Particles
   Step          Time          v_magx         v_magy         v_magz       v_magnorm        v_tmag         v_emag         PotEng         TotEng    
      6050   0.605         -0.010414039    0.079961495   -0.0085552377   0.081089364    481.08633      37.736295     -2137.3943     -2137.3943    
      6100   0.61          -0.0097663431   0.080241881   -0.0083757433   0.081266808    478.33169      37.534906     -2137.5957     -2137.5957    
      6150   0.615         -0.010335388    0.080591057   -0.0084966465   0.081694135    483.44771      37.341371     -2137.7892     -2137.7892    
      6200   0.62          -0.0099579514   0.080342408   -0.0082862524   0.081380128    483.3145       37.141173     -2137.9894     -2137.9894    
      6250   0.625         -0.01036878     0.081261336   -0.007905109    0.082300711    483.63306      36.899636     -2138.2309     -2138.2309    
      6300   0.63          -0.010698396    0.0811598     -0.0082067427   0.082272228    492.93807      36.70883      -2138.4217     -2138.4217    
      6350   0.635         -0.0098541683   0.081485866   -0.0091032169   0.082582805    500.18991      36.528906     -2138.6017     -2138.6017    
      6400   0.64          -0.0096005306   0.082154241   -0.0086410836   0.08316344     499.14781      36.355435     -2138.7751     -2138.7751    
      6450   0.645         -0.010223467    0.083103846   -0.0082845255   0.084139181    493.02148      36.161133     -2138.9694     -2138.9694    
      6500   0.65          -0.0097431514   0.083516908   -0.009040413    0.084567914    487.5581       36.007896     -2139.1227     -2139.1227    
      6550   0.655         -0.0098614662   0.084345643   -0.0098882629   0.085493939    483.06792      35.810018     -2139.3205     -2139.3205    
      6600   0.66          -0.0091770823   0.085010408   -0.0091913783   0.085996917    477.07557      35.586734     -2139.5438     -2139.5438    
      6650   0.665         -0.0088264755   0.08591188    -0.0090808004   0.086840191    471.38889      35.359877     -2139.7707     -2139.7707    
      6700   0.67          -0.0089674944   0.086111527   -0.0093113092   0.087076469    463.37014      35.183598     -2139.947      -2139.947     
      6750   0.675         -0.0089885774   0.086369532   -0.0085475195   0.087255663    453.48957      34.981013     -2140.1495     -2140.1495    
      6800   0.68          -0.008846533    0.087371025   -0.0085992376   0.08823777     450.15377      34.745951     -2140.3846     -2140.3846    
      6850   0.685         -0.0078002688   0.088434184   -0.0083457062   0.08916894     447.57637      34.524359     -2140.6062     -2140.6062    
      6900   0.69          -0.0083583094   0.088654305   -0.0079472596   0.089401377    446.68132      34.353633     -2140.7769     -2140.7769    
      6950   0.695         -0.0090999968   0.088887651   -0.0082097887   0.08972862     447.36962      34.137079     -2140.9935     -2140.9935    
      7000   0.7           -0.0090191639   0.088371001   -0.0065333166   0.089069992    445.86252      33.915475     -2141.2151     -2141.2151    
      7050   0.705         -0.009218508    0.089295035   -0.0060026562   0.089970084    442.07326      33.648192     -2141.4824     -2141.4824    
      7100   0.71          -0.0096719134   0.089123088   -0.0062768702   0.089865843    442.06902      33.419473     -2141.7111     -2141.7111    
      7150   0.715         -0.0092004337   0.090103966   -0.0067052053   0.090820331    437.99749      33.180301     -2141.9503     -2141.9503    
      7200   0.72          -0.0096926979   0.090136569   -0.0077685528   0.09098846     431.05128      32.945711     -2142.1848     -2142.1848    
      7250   0.725         -0.0090480914   0.091739856   -0.0077590584   0.09251093     432.76074      32.770861     -2142.3597     -2142.3597    
      7300   0.73          -0.0086392799   0.09185043    -0.007981405    0.09260044     438.14181      32.54559      -2142.585      -2142.585     
      7350   0.735         -0.0080714029   0.092095112   -0.0086332423   0.092850364    442.58432      32.342726     -2142.7878     -2142.7878    
      7400   0.74          -0.0071886359   0.092247636   -0.0084909425   0.092916085    438.59835      32.132911     -2142.9977     -2142.9977    
      7450   0.745         -0.0075306724   0.092893303   -0.0081551699   0.093554174    434.45774      31.916822     -2143.2137     -2143.2137    
      7500   0.75          -0.00629637     0.092938084   -0.0074342971   0.093447314    431.41651      31.68252      -2143.448      -2143.448     
      7550   0.755         -0.006530258    0.094021726   -0.0073332715   0.094533095    422.1248       31.47358      -2143.657      -2143.657     
      7600   0.76          -0.0068514232   0.095024747   -0.0080239692   0.095608727    414.02718      31.218217     -2143.9123     -2143.9123    
      7650   0.765         -0.0062655435   0.094988284   -0.0080190816   0.095531863    411.65007      30.980145     -2144.1504     -2144.1504    
      7700   0.77          -0.0057452164   0.095089632   -0.0087215815   0.095661443    409.61068      30.73623      -2144.3943     -2144.3943    
      7750   0.775         -0.0055820235   0.096104691   -0.0085805347   0.096648311    409.11992      30.502295     -2144.6283     -2144.6283    
      7800   0.78          -0.0052429282   0.096876505   -0.0093006548   0.097463059    404.41414      30.278717     -2144.8518     -2144.8518    
      7850   0.785         -0.0063175878   0.096212668   -0.0099557031   0.096932479    394.34323      30.131317     -2144.9992     -2144.9992    
      7900   0.79          -0.0055770675   0.098009113   -0.010314513    0.09870805     384.0161       29.919194     -2145.2114     -2145.2114    
      7950   0.795         -0.0044857062   0.09895518    -0.0095031672   0.099511604    377.90457      29.726124     -2145.4044     -2145.4044    
      8000   0.8           -0.0033388771   0.099159252   -0.0098921397   0.09970737     376.48987      29.478442     -2145.6521     -2145.6521    
      8050   0.805         -0.0032843864   0.09976548    -0.0099629197   0.10031549     375.95309      29.284668     -2145.8459     -2145.8459    
      8100   0.81          -0.0043450105   0.10122618    -0.0090834183   0.10172574     373.74729      29.056801     -2146.0738     -2146.0738    
      8150   0.815         -0.0040497164   0.10081363    -0.0090634618   0.10130121     366.14307      28.872422     -2146.2581     -2146.2581    
      8200   0.82          -0.004781881    0.10127943    -0.0091286688   0.10180236     356.13388      28.67482      -2146.4557     -2146.4557    
      8250   0.825         -0.0037702778   0.10146905    -0.0089793595   0.10193533     354.54181      28.445588     -2146.685      -2146.685     
      8300   0.83          -0.0042810993   0.10202887    -0.0091576434   0.10252844     354.24957      28.216878     -2146.9137     -2146.9137    
      8350   0.835         -0.0051094708   0.10220446    -0.0089110652   0.10271935     353.58523      28.006523     -2147.124      -2147.124     
      8400   0.84          -0.0049102446   0.10357315    -0.0089822856   0.10407781     356.09746      27.793743     -2147.3368     -2147.3368    
      8450   0.845         -0.0041942344   0.10413736    -0.010350465    0.10473449     357.34597      27.545764     -2147.5848     -2147.5848    
      8500   0.85          -0.0036900637   0.10437413    -0.011073337    0.10502473     355.1605       27.31078      -2147.8198     -2147.8198    
