# 561 Particles

   Step          Time          v_magx         v_magy         v_magz       v_magnorm        v_tmag         v_emag         PotEng         TotEng    
      5950   0.595          0.01251119     0.14024683    -0.036474104    0.14545124     473.96848      35.509586     -2086.4411     -2086.4411    
      6000   0.6            0.012364617    0.14029948    -0.036898578    0.14559647     461.57745      35.310072     -2086.6406     -2086.6406    
      6050   0.605          0.012737262    0.14094204    -0.035896307    0.14599808     467.05305      35.156499     -2086.7942     -2086.7942    
      6100   0.61           0.012828493    0.141595      -0.036313319    0.14673913     468.49772      34.976932     -2086.9738     -2086.9738    
      6150   0.615          0.012182949    0.14255596    -0.037498271    0.14790789     464.16355      34.745076     -2087.2056     -2087.2056    
      6200   0.62           0.01317051     0.14346776    -0.038767514    0.14919577     462.50789      34.543709     -2087.407      -2087.407     
      6250   0.625          0.013117256    0.1446392     -0.039371106    0.15047473     460.07068      34.350274     -2087.6004     -2087.6004    
      6300   0.63           0.013329876    0.14621394    -0.03871155     0.15183802     457.56883      34.104517     -2087.8462     -2087.8462    
      6350   0.635          0.013632032    0.14772121    -0.039654153    0.15355729     456.9644       33.929377     -2088.0213     -2088.0213    
      6400   0.64           0.014637748    0.14919903    -0.040098077    0.15518528     456.5034       33.744019     -2088.2067     -2088.2067    
      6450   0.645          0.014551327    0.15108277    -0.040702098    0.15714453     456.60882      33.519539     -2088.4311     -2088.4311    
      6500   0.65           0.015041811    0.15171451    -0.042112056    0.15816755     460.36919      33.324247     -2088.6264     -2088.6264    
      6550   0.655          0.015580157    0.15374293    -0.041727619    0.16006507     462.22049      33.115972     -2088.8347     -2088.8347    
      6600   0.66           0.017070213    0.15415471    -0.041953653    0.16067101     463.5076       32.898283     -2089.0524     -2089.0524    
      6650   0.665          0.018225142    0.15529579    -0.042780477    0.16210832     462.17476      32.659791     -2089.2909     -2089.2909    
      6700   0.67           0.017867247    0.15561071    -0.042489384    0.16229381     457.09286      32.467324     -2089.4834     -2089.4834    
      6750   0.675          0.018544132    0.1570255     -0.043819506    0.16407633     449.47418      32.24787      -2089.7028     -2089.7028    
      6800   0.68           0.018443218    0.15788301    -0.044424323    0.16504763     440.39027      32.013253     -2089.9374     -2089.9374    
      6850   0.685          0.017605602    0.15847538    -0.044625138    0.16557719     434.02773      31.812392     -2090.1383     -2090.1383    
      6900   0.69           0.017551274    0.15956578    -0.043852263    0.16641005     424.1658       31.595045     -2090.3556     -2090.3556    
      6950   0.695          0.017602418    0.16031131    -0.044040879    0.16718003     414.94129      31.376426     -2090.5743     -2090.5743    
      7000   0.7            0.016470271    0.16202106    -0.044514837    0.16883028     408.34648      31.160044     -2090.7906     -2090.7906    
      7050   0.705          0.016854005    0.16193433    -0.044388647    0.1687517      403.65564      31.014658     -2090.936      -2090.936     
      7100   0.71           0.016813756    0.16214761    -0.044910435    0.1690902      400.55859      30.84064      -2091.11       -2091.11      
      7150   0.715          0.017581913    0.1623173     -0.044949375    0.1693413      399.95056      30.597117     -2091.3536     -2091.3536    
      7200   0.72           0.017696252    0.16414289    -0.046160003    0.17142576     402.42012      30.409318     -2091.5414     -2091.5414    
      7250   0.725          0.017971176    0.16542145    -0.047127763    0.17294        406.13921      30.187784     -2091.7629     -2091.7629    
      7300   0.73           0.01894237     0.16673022    -0.047454889    0.1743839      411.38635      29.961803     -2091.9889     -2091.9889    
      7350   0.735          0.018891803    0.16749159    -0.047085407    0.17500677     407.61758      29.748248     -2092.2024     -2092.2024    
      7400   0.74           0.017795261    0.1688376     -0.046864475    0.17612236     406.65643      29.57491      -2092.3758     -2092.3758    
      7450   0.745          0.01666365     0.17016387    -0.04810085     0.17761506     402.25796      29.354103     -2092.5966     -2092.5966    
      7500   0.75           0.015821363    0.17095502    -0.049004188    0.17854228     395.54975      29.133017     -2092.8177     -2092.8177    
      7550   0.755          0.015328147    0.17230641    -0.049108073    0.17982228     389.73658      28.905937     -2093.0447     -2093.0447    
      7600   0.76           0.014882739    0.17374009    -0.04903365     0.18113921     386.06993      28.662325     -2093.2884     -2093.2884    
      7650   0.765          0.014687274    0.17484503    -0.049692817    0.18236194     381.2742       28.429033     -2093.5217     -2093.5217    
      7700   0.77           0.014724954    0.1763316     -0.049682252    0.18378788     374.18106      28.181958     -2093.7687     -2093.7687    
      7750   0.775          0.015112335    0.17738998    -0.049819906    0.18487188     367.89724      27.896768     -2094.0539     -2094.0539    
      7800   0.78           0.015581013    0.17898047    -0.049409891    0.18632798     362.26151      27.651947     -2094.2987     -2094.2987    
      7850   0.785          0.015318782    0.18021221    -0.049361134    0.187477       359.16138      27.44474      -2094.5059     -2094.5059    
      7900   0.79           0.014807403    0.18111606    -0.049401302    0.18831562     358.29374      27.233236     -2094.7174     -2094.7174    
      7950   0.795          0.014877206    0.18383028    -0.049788262    0.19103343     355.23388      26.991196     -2094.9595     -2094.9595    
      8000   0.8            0.015452895    0.18459046    -0.048655444    0.19151966     352.28549      26.85203      -2095.0987     -2095.0987    
      8050   0.805          0.015615765    0.18604722    -0.0486489      0.19293557     345.90234      26.572473     -2095.3782     -2095.3782    
      8100   0.81           0.015575938    0.18886345    -0.048515656    0.19561642     342.45453      26.326699     -2095.624      -2095.624     
      8150   0.815          0.015637954    0.1896143     -0.049898487    0.19669262     341.33417      26.153256     -2095.7974     -2095.7974    
      8200   0.82           0.015635685    0.19122082    -0.049633471    0.19817507     339.06799      25.954924     -2095.9958     -2095.9958    
      8250   0.825          0.016511286    0.19257406    -0.050184923    0.19968955     335.59535      25.728203     -2096.2225     -2096.2225    
      8300   0.83           0.016947651    0.19407497    -0.049917958    0.20110723     331.87059      25.509103     -2096.4416     -2096.4416    
      8350   0.835          0.016601918    0.19652108    -0.050091992    0.20348308     327.12052      25.264178     -2096.6865     -2096.6865    
      8400   0.84           0.016718611    0.19798773    -0.050570173    0.20502682     321.6539       25.011643     -2096.939      -2096.939     
      8450   0.845          0.017827432    0.19988702    -0.051620121    0.20721311     316.42534      24.737826     -2097.2129     -2097.2129    
      8500   0.85           0.018241915    0.20077195    -0.051994741    0.20819605     313.19178      24.513978     -2097.4367     -2097.4367    
      8550   0.855          0.019299118    0.20185253    -0.05233843     0.20941875     314.69315      24.312957     -2097.6377     -2097.6377    
      8600   0.86           0.019667969    0.20298325    -0.052642179    0.21061868     314.21502      24.103426     -2097.8473     -2097.8473    
      8650   0.865          0.019470771    0.20414166    -0.053048263    0.21181843     309.65718      23.874027     -2098.0767     -2098.0767    
      8700   0.87           0.020245664    0.20503293    -0.052779378    0.21268298     304.60433      23.666076     -2098.2846     -2098.2846    
      8750   0.875          0.019542727    0.20542928    -0.052818136    0.21300907     302.0973       23.523799     -2098.4269     -2098.4269    
      8800   0.88           0.020297429    0.20705965    -0.052671733    0.21461592     298.03547      23.336669     -2098.614      -2098.614     
      8850   0.885          0.020037315    0.20845277    -0.052907246    0.21599358     293.63352      23.095377     -2098.8553     -2098.8553    
      8900   0.89           0.020158165    0.20932233    -0.054431638    0.21722107     291.69608      22.9111       -2099.0396     -2099.0396    
      8950   0.895          0.021045564    0.21075188    -0.055344444    0.21891158     285.56733      22.692152     -2099.2585     -2099.2585    
      9000   0.9            0.021048944    0.21099035    -0.055777001    0.21925113     278.6188       22.482539     -2099.4681     -2099.4681    
      9050   0.905          0.021386408    0.21159445    -0.056135153    0.21995624     276.3205       22.311849     -2099.6388     -2099.6388    
      9100   0.91           0.022025426    0.2120429     -0.056615485    0.2205734      275.64897      22.166308     -2099.7844     -2099.7844    
      9150   0.915          0.021948599    0.21332021    -0.057110123    0.22192075     271.38147      21.946227     -2100.0045     -2100.0045    
      9200   0.92           0.022835998    0.21445243    -0.057836416    0.22328542     266.6799       21.738215     -2100.2125     -2100.2125    
      9250   0.925          0.023148057    0.21558139    -0.057781627    0.2243878      264.74032      21.496391     -2100.4543     -2100.4543    
      9300   0.93           0.023159431    0.21717977    -0.058130523    0.22601454     264.88808      21.302612     -2100.6481     -2100.6481    
      9350   0.935          0.023735356    0.21833008    -0.058527537    0.22728146     265.04571      21.095493     -2100.8552     -2100.8552    
      9400   0.94           0.023789543    0.21884903    -0.058640315    0.22781468     262.68467      20.87393      -2101.0768     -2101.0768    
      9450   0.945          0.02339767     0.22054414    -0.058453266    0.22935552     259.87556      20.703275     -2101.2474     -2101.2474    
      9500   0.95           0.023664752    0.22160288    -0.058430056    0.23039515     257.22861      20.496063     -2101.4546     -2101.4546    
      9550   0.955          0.023997734    0.22268118    -0.058719723    0.23154007     254.13994      20.290959     -2101.6597     -2101.6597    
      9600   0.96           0.023608627    0.22361646    -0.058518676    0.23234914     251.8246       20.065617     -2101.8851     -2101.8851    
      9650   0.965          0.024206747    0.22427683    -0.058025035    0.23292267     250.89883      19.904861     -2102.0458     -2102.0458    
      9700   0.97           0.023231914    0.22547976    -0.05815807     0.2340154      249.66406      19.724127     -2102.2266     -2102.2266    
      9750   0.975          0.022887846    0.22606224    -0.058332184    0.23458609     246.31103      19.515593     -2102.4351     -2102.4351    
      9800   0.98           0.02200678     0.22701655    -0.057457359    0.23520663     246.62919      19.399012     -2102.5517     -2102.5517    
      9850   0.985          0.02283549     0.22747543    -0.057548266    0.23575057     243.45816      19.204415     -2102.7463     -2102.7463    
      9900   0.99           0.022885782    0.22869066    -0.058563253    0.23717679     239.89686      18.994065     -2102.9566     -2102.9566    
      9950   0.995          0.023091038    0.2286175     -0.05829778     0.23706072     237.00114      18.81207      -2103.1386     -2103.1386    
     10000   1              0.022046275    0.22971866    -0.058842993    0.23815792     234.61156      18.592152     -2103.3585     -2103.3585    
     10050   1.005          0.022471931    0.23030333    -0.058863902    0.23876677     231.06215      18.414861     -2103.5358     -2103.5358    
     10100   1.01           0.021735877    0.23070184    -0.058092974    0.2388945      226.28834      18.253544     -2103.6971     -2103.6971    
     10150   1.015          0.022126866    0.23111037    -0.057746788    0.23924108     224.22159      18.086234     -2103.8645     -2103.8645    
     10200   1.02           0.022106036    0.23184389    -0.057791082    0.23995849     225.21277      17.919147     -2104.0315     -2104.0315    
     10250   1.025          0.022692825    0.23317117    -0.057861051    0.24131237     225.05224      17.774351     -2104.1763     -2104.1763    
     10300   1.03           0.022252696    0.23475806    -0.058049615    0.24285034     222.85028      17.498325     -2104.4524     -2104.4524    
     10350   1.035          0.022326105    0.23515994    -0.057752411    0.24317482     223.1047       17.302476     -2104.6482     -2104.6482    
     10400   1.04           0.022265169    0.23601155    -0.057527051    0.24393964     222.58105      17.125628     -2104.8251     -2104.8251    
     10450   1.045          0.022274101    0.23683059    -0.05736049     0.24469387     219.73915      16.913689     -2105.037      -2105.037     
     10500   1.05           0.021855457    0.23881016    -0.057702286    0.24665261     217.19611      16.759312     -2105.1914     -2105.1914    
     10550   1.055          0.022900978    0.2406496     -0.056800184    0.24832024     213.68531      16.537827     -2105.4129     -2105.4129    
     10600   1.06           0.023636338    0.24081952    -0.057638402    0.24874667     211.96549      16.404299     -2105.5464     -2105.5464    
     10650   1.065          0.023828277    0.24161399    -0.057563055    0.24951676     210.07759      16.24604      -2105.7046     -2105.7046    
     10700   1.07           0.024348598    0.24350478    -0.057528578    0.25139008     207.60528      16.072832     -2105.8779     -2105.8779    
     10750   1.075          0.023954501    0.24523655    -0.057481404    0.25301956     203.45664      15.817764     -2106.1329     -2106.1329    
     10800   1.08           0.023493566    0.24687736    -0.057541973    0.25458094     202.54267      15.671265     -2106.2794     -2106.2794    
     10850   1.085          0.023879344    0.24736091    -0.057935611    0.2551748      198.96118      15.472166     -2106.4785     -2106.4785    
     10900   1.09           0.023698011    0.24827518    -0.058928552    0.25627083     195.64405      15.337016     -2106.6137     -2106.6137    
     10950   1.095          0.023993113    0.24909943    -0.059808619    0.25729996     193.57309      15.173521     -2106.7772     -2106.7772    
     11000   1.1            0.024642589    0.24949631    -0.060628435    0.25793695     190.51248      15.036478     -2106.9142     -2106.9142    
     11050   1.105          0.02540205     0.25041661    -0.060240159    0.25881001     188.78448      14.906018     -2107.0447     -2107.0447    
     11100   1.11           0.02529354     0.25131518    -0.060564959    0.25974448     188.97477      14.747693     -2107.203      -2107.203     
     11150   1.115          0.026260892    0.25162463    -0.060632828    0.26015558     188.28627      14.574443     -2107.3762     -2107.3762    
     11200   1.12           0.026709609    0.25312203    -0.061126554    0.26176444     186.35901      14.422521     -2107.5282     -2107.5282    
     11250   1.125          0.027111741    0.25403884    -0.06167355     0.2628201      183.42121      14.217472     -2107.7332     -2107.7332    
     11300   1.13           0.027180263    0.25528101    -0.06157807     0.26400572     179.98652      14.019384     -2107.9313     -2107.9313    
     11350   1.135          0.027051524    0.25519573    -0.060664629    0.26369839     177.14482      13.864268     -2108.0864     -2108.0864    
